category,subtype,value,co2e
consumption,services,1108.5646338700697,13.549
energy,renewable,8.345691509872552,-3.08
transport,car-gasoline,1.1648655386014013,0.2157
consumption,clothing,1.4675541674268242,0.0319
energy,renewable,142.85226509273258,1.295
consumption,other,479.1214927773453,10.699
travel,train,359.8039066869385,15.039
consumption,electronics,4658.024437806981,326.361
travel,car-electric,129.09041992671288,6.147
food,red-meat,2.0980045734748995,57.037
consumption,other,4669.4508818451,93.635
energy,coal,233.27348621562336,242.501
food,beef,1.0837385343581716,29.2624
food,vegan,2.356803742966044,4.113
food,other,1.3579346430182089,3.693
energy,renewable,162.29637623017584,4.286
consumption,services,5321.260406805145,52.686
energy,electricity-grid,736.4926536460216,525.23
food,vegetarian,0.728565672154273,1.935
travel,train,9.98204438366228,0.378
food,white-meat,2.567895371069058,17.725
energy,coal,186.77554604986028,197.917
consumption,home-goods,7001.636951808339,210.707
consumption,services,159.73306256640518,1.312
transport,train,0.819243212310863,0.0489
food,vegan,0.7839682934466872,1.304
energy,electricity-grid,0.6412862457110344,0.4502
travel,walking,149.37715467890283,-0.181
food,vegan,1.4568229782944282,1.786
transport,car-gasoline,1.2827081548247583,0.2327
food,fish,2.333319771792156,11.781
energy,electricity-grid,0.9674024536162033,0.6927
travel,bus,30.21691369274562,3.731
energy,natural_gas,467.2613656741825,210.265
food,red-meat,2.1749248102416416,58.467
food,vegetarian,1.9655204154762724,4.303
travel,flight-short,206.10320643354564,52.225
energy,renewable,766.4792272876185,14.283
travel,bicycle,357.31797702958346,0.821
food,beef,0.5906064854525226,15.9606
consumption,clothing,4702.061304452969,70.076
transport,car-gasoline,1.5239253340768495,0.2809
food,vegan,1.0953121081349968,1.731
energy,renewable,166.33427488899196,5.174
travel,flight-short,386.7714318070357,98.828
consumption,other,6312.081679157937,126.425
energy,natural_gas,253.06242139901784,114.234
food,white-meat,1.643076049048861,10.435
travel,car-gasoline,477.7120085654602,91.662
food,fish,1.383693687820947,7.321
food,vegan,0.974831915575898,1.42
food,other,1.0386572681893251,3.677
food,white-meat,0.5122111650506298,3.503
food,beef,1.5559170319047309,42.0293
energy,natural_gas,858.647948097003,387.776
energy,electricity-grid,997.5206130415024,704.519
food,white-meat,0.675253700668605,4.659
travel,train,263.9936904919141,10.57
travel,flight-long,262.0258242409043,38.771
food,beef,1.1694583154132752,31.5697
consumption,other,8487.318348460274,170.399
consumption,clothing,7654.230001137126,113.902
energy,renewable,621.7092935315516,12.333
food,other,1.0233709984602468,3.697
energy,electricity-grid,519.7933799496609,366.688
consumption,electronics,8795.385523600442,617.221
transport,train,1.3273621599397742,0.0506
transport,car-gasoline,0.4777314611855033,0.0831
consumption,other,5158.137430488924,103.598
food,beef,0.6828209988055616,18.4542
food,vegetarian,1.0088388062045122,1.035
food,vegetarian,2.092053660710882,5.201
travel,motorcycle,353.3034848243483,38.597
energy,electricity-grid,81.87278237957244,58.704
food,vegetarian,0.8973119171104289,1.755
food,vegetarian,2.432100208566258,5.264
travel,flight-long,25.02327515319837,3.311
consumption,services,4057.187080176313,39.805
transport,car-gasoline,1.1537470866067223,0.204
energy,renewable,666.950467794493,13.718
food,beef,1.3225440402483306,35.7022
energy,natural_gas,325.00455025782964,147.628
travel,flight-short,444.9363644757656,113.42
consumption,clothing,1.116789280026714,0.017
energy,natural_gas,671.5995544039034,306.382
consumption,home-goods,7186.772077311375,214.971
travel,flight-long,288.0065118978158,43.474
food,white-meat,1.1484993470046343,7.465
transport,car-gasoline,0.7582842273563404,0.1299
consumption,electronics,8432.454390722336,589.373
food,red-meat,2.540083755755171,68.55
consumption,electronics,527.2772078657849,36.763
food,white-meat,1.518455697797851,10.457
consumption,clothing,9206.710069583956,138.07
energy,coal,34.390148863068255,35.433
consumption,home-goods,8442.617732798864,252.152
travel,motorcycle,255.70581201311188,28.456
food,beef,0.8489613678926158,22.9346
food,white-meat,1.278780747534965,8.676
food,fish,0.589914390533532,2.37
energy,electricity-grid,189.04396756927656,135.689
food,vegetarian,1.1712501904937385,2.0
energy,renewable,336.3381592060206,7.624
travel,bus,170.96147912406454,18.118
food,beef,1.0831127394904867,29.242
food,white-meat,1.9771656684877863,14.638
energy,electricity-grid,512.7024929693746,363.944
travel,train,435.4186340979575,17.434
food,other,1.6517804283706887,4.454
travel,walking,235.62111375563583,0.286
travel,bicycle,61.1972996791998,-0.038
energy,electricity-grid,0.966757876633358,0.6954
food,fish,1.7160125888404454,8.092
energy,renewable,188.5346832865598,6.387
consumption,other,4324.54729731304,88.093
food,vegan,1.7592294030936115,2.787
transport,car-gasoline,0.4931771591739732,0.0926
travel,car-electric,54.86391360858571,2.442
