product_category,co2_per_item
Desktop computer large (e.g. tower),615.7166667
"Flat screen <15""",298.5
"Flat screen 15-17""",262.5575
"Flat screen 19-21""",304.8757333
"Flat screen 22-24""",343.4929444
"Flat screen 25-27""",432.7033333
"Flat screen 28-30""",388.788
"Flat screen 31-33""",458.6215556
"Flat screen 34-36""",465.5312857
"Flat screen 37-38""",480
"Flat screen 38-40""",580.602
"Flat screen >40""",637.9033333
Laptop large,414.6973333
Laptop medium,265.3158889
Laptop small,221.1522667
Paper shredder,59.5
PC Accessory,15.9353952
Printer/scanner,100.69
Battery/charger/adapter,0.54843
Digital Compact Camera,29.726
DSLR / Video Camera,16.025
Handheld entertainment device,22.70666667
Headphones,3
Mobile,50.51430556
Tablet,114.4902651
Games console,140.67375
"Flat screen display 26-30""",-
"Flat screen display 32-37""",349.575
"Flat screen display ≥39""",268.3365
Hi-Fi integrated,186.5
Hi-Fi separates,123.86
Musical instrument,-
Portable radio,54.65
Projector,57.57666667
TV and gaming-related accessories,51.3332
Aircon/Dehumidifier,99.40666667
Blender,49.8
Coffee Maker,17.5
Decorative or safety lights,14.715
Fan,15.6
Hair & Beauty item,10.28
Iron,11
Kettle,44.32
Large home electrical,35.34
Lamp,14.964
Power tool,26.65
Sewing machine,35
Small home electrical,42.80333333
Small kitchen item,30.9
Toaster,8.125666667
Toy,10.4
Vacuum,36.01428571
Watch/clock,28.29071429
Bicycle,149.6
Clothing/textile,20.32272625
Furniture,67.13076923
Jewellery,3.334411211
Misc (non-EEE),19.02127141
Tool (non-EEE),4.348573127
